identifier	T-statistics	pvalue	mean_group1	mean_group2	std(group1)	std(group2)	log2FC	test	correction	padj	rejected	group1	group2	FC	-log10 pvalue	Method	color	name
APOA4~P06727	2.3962468741017515	0.019737160072989923	17.88697895101687	17.548968420051676	0.6955168172471595	0.5636429482810684	-0.33801053096519595	t-Test	FDR correction BH	0.03730191026441167	True	Not MIS-C	MIS-C Acute Stage	1.2640123250882653	1.7047153366389247	Unpaired t-test	lightsteelblue	
APOC1~P02654	7.424658510775638	2.658496285403367e-10	18.267151666938563	17.470950338354758	0.5682975980644736	0.40707564274601554	-0.7962013285838054	t-Test	FDR correction BH	4.326098500792752e-09	True	Not MIS-C	MIS-C Acute Stage	1.7365227706375528	9.575363942169417	Unpaired t-test	lightsteelblue	
APOC3~P02656	2.2806471109069038	0.026297312012679836	19.264490707192316	18.974361970347736	0.614898206800703	0.5145122864758689	-0.2901287368445793	t-Test	FDR correction BH	0.045407630715008765	True	Not MIS-C	MIS-C Acute Stage	1.2227493831300058	1.5800886407771806	Unpaired t-test	lightsteelblue	
APOE~P02649	-2.9567081206916295	0.00483242764653888	17.16170873431571	17.516591124483934	0.5063283237011912	0.5184212382065765	0.35488239016822476	t-Test	FDR correction BH	0.010812556859130745	True	Not MIS-C	MIS-C Acute Stage	0.7819333844618934	2.3158346397193057	Unpaired t-test	indianred	
APOF~Q13790	-3.0123931213564568	0.003766285447622028	16.196363134888575	16.584646451762552	0.6479138071539703	0.50864166648023	0.3882833168739772	t-Test	FDR correction BH	0.008755390845770688	True	Not MIS-C	MIS-C Acute Stage	0.7640382036031382	2.424086767795401	Unpaired t-test	indianred	
APOH~P02749	3.123735118843794	0.0026099218741738144	18.980297011480495	18.696098762281398	0.4915880886349423	0.33982407390495234	-0.28419824919909686	t-Test	FDR correction BH	0.006399671444891956	True	Not MIS-C	MIS-C Acute Stage	1.2177333430571162	2.5833724927088566	Unpaired t-test	lightsteelblue	
APOM~O95445	7.145489473736783	1.8264610088381042e-08	17.613176107150245	16.680572178532376	0.42495849568402755	0.6069341424105389	-0.9326039286178691	t-Test	FDR correction BH	1.8381302804759904e-07	True	Not MIS-C	MIS-C Acute Stage	1.9087179450077845	7.738389594641335	Unpaired t-test	lightsteelblue	
ATRN~O75882	4.7705692992138164	1.4424794180487705e-05	15.318225600012044	14.936302548327582	0.3707826853291848	0.3315183001023482	-0.3819230516844616	t-Test	FDR correction BH	6.620610662326409e-05	True	Not MIS-C	MIS-C Acute Stage	1.303077645898536	4.840890374838862	Unpaired t-test	lightsteelblue	
B2M~P61769	-5.822327820092994	2.559077059012658e-07	13.24141538694588	14.429286895601253	1.0017205938361213	0.8173791675931292	1.1878715086553733	t-Test	FDR correction BH	1.7618261290894838e-06	True	Not MIS-C	MIS-C Acute Stage	0.43894999144835806	6.591916636426178	Unpaired t-test	indianred	B2M
BCHE~P06276	4.773984617182464	1.1273700975660147e-05	14.879527640466353	14.243728549615454	0.6785877725384003	0.5206913982196756	-0.6357990908508988	t-Test	FDR correction BH	5.605534651786573e-05	True	Not MIS-C	MIS-C Acute Stage	1.5537981411772654	4.947933488616683	Unpaired t-test	lightsteelblue	
BTD~P43251	4.266754228484619	8.262114570697373e-05	14.778489406336679	14.449343432486364	0.3523948898783119	0.32167270728455316	-0.32914597385031463	t-Test	FDR correction BH	0.0003215040235119195	True	Not MIS-C	MIS-C Acute Stage	1.2562694857716996	4.082908786958481	Unpaired t-test	lightsteelblue	
C1QB~P02746	-3.7949856498671184	0.0003449722283730532	16.45754914591357	16.713883858014807	0.3364287610587	0.2681636519269518	0.2563347121012356	t-Test	FDR correction BH	0.0011227277977959367	True	Not MIS-C	MIS-C Acute Stage	0.8372122277617178	3.462215865940654	Unpaired t-test	indianred	
C1S~P09871	-2.47856453896556	0.016274132121520696	17.058555610680436	17.224985903417334	0.31634951269842915	0.2755504871415953	0.1664302927368979	t-Test	FDR correction BH	0.03167529236222222	True	Not MIS-C	MIS-C Acute Stage	0.8910446966578712	1.7885021625069002	Unpaired t-test	indianred	
C2~P06681	-3.1096276468677466	0.0029329880887327547	15.557246721551163	15.749558940147917	0.2957985028534261	0.2516591691471224	0.1923122185967543	t-Test	FDR correction BH	0.007094660376799501	True	Not MIS-C	MIS-C Acute Stage	0.8752019037431076	2.532689700745374	Unpaired t-test	indianred	
C4BPB~P20851	-3.3508560054855168	0.0014969053860811761	16.407680725007197	16.6603205888135	0.343580178453392	0.3147682247520542	0.252639863806305	t-Test	FDR correction BH	0.003940383295713684	True	Not MIS-C	MIS-C Acute Stage	0.8393591379854778	2.8248056489564886	Unpaired t-test	indianred	
C4B~P0C0L5	-2.887967719084146	0.005813213583760048	17.397919558730194	17.7379496215284	0.49864171667989843	0.5077569996819845	0.34003006279820625	t-Test	FDR correction BH	0.012536930499916249	True	Not MIS-C	MIS-C Acute Stage	0.7900248491984325	2.235583720301074	Unpaired t-test	indianred	
C9~P02748	-4.046480686111254	0.00011435390904250953	17.837191985743978	18.14979873971262	0.4773358787955295	0.24726399848823838	0.312606753968641	t-Test	FDR correction BH	0.0004264447858043585	True	Not MIS-C	MIS-C Acute Stage	0.8051855830867912	3.9417489850006113	Unpaired t-test	indianred	
CD14~P08571	-2.3760164021998533	0.019797103212955913	15.477165231245102	15.754450583063855	0.7103807142362026	0.3818867933450707	0.2772853518187528	t-Test	FDR correction BH	0.03730191026441167	True	Not MIS-C	MIS-C Acute Stage	0.8251421868309421	1.703398352701396	Unpaired t-test	indianred	
CD44~P16070	-4.927496202174855	6.335594056300325e-06	13.070474584460264	13.767723238780421	0.7248094565862038	0.551162194363803	0.6972486543201573	t-Test	FDR correction BH	3.255281439000484e-05	True	Not MIS-C	MIS-C Acute Stage	0.6167472768582887	5.198212657295561	Unpaired t-test	indianred	
CD5L~O43866	3.146249932959055	0.002510949886219176	17.70805023896516	17.270243070059525	0.7184106545292361	0.5389307360832806	-0.43780716890563554	t-Test	FDR correction BH	0.006242500411572673	True	Not MIS-C	MIS-C Acute Stage	1.354543916599252	2.6001619548918815	Unpaired t-test	lightsteelblue	
CFI~P05156	-3.2584304437018474	0.0017220032238980543	17.590585366423518	17.788854352357518	0.33379552112795974	0.22423611790643627	0.1982689859339999	t-Test	FDR correction BH	0.0044672257547500255	True	Not MIS-C	MIS-C Acute Stage	0.8715957181177937	2.7639660398046493	Unpaired t-test	indianred	
CLEC3B~P05452	2.3203394158903845	0.02306698497947678	15.138889708986767	14.970399853311044	0.41013234712989766	0.26014304987349013	-0.16848985567572328	t-Test	FDR correction BH	0.04088109219134994	True	Not MIS-C	MIS-C Acute Stage	1.123881443296994	1.6370091671757754	Unpaired t-test	lightsteelblue	
CLU~P10909	2.402126661520816	0.02020866614721438	17.91074323429242	17.748243329896113	0.28847342116223557	0.2909300448459882	-0.1624999043963058	t-Test	FDR correction BH	0.03768074208699348	True	Not MIS-C	MIS-C Acute Stage	1.1192248534599427	1.694462350711396	Unpaired t-test	lightsteelblue	
CPN2~P22792	-4.066599903226394	0.0001465067570731224	16.505676928000614	16.798978681790377	0.3494120233522165	0.2913158781248888	0.29330175378976264	t-Test	FDR correction BH	0.0005053575317528274	True	Not MIS-C	MIS-C Acute Stage	0.8160323471466224	3.834142344648458	Unpaired t-test	indianred	
CP~P00450	-2.6173146913056335	0.010620297716308994	18.82697026014853	18.95957020836664	0.2968188799429642	0.17428375795091777	0.1325999482181075	t-Test	FDR correction BH	0.021850957370336897	True	Not MIS-C	MIS-C Acute Stage	0.9121860748759206	1.9738633086087982	Unpaired t-test	indianred	
CRP~P02741	-7.457523098857374	7.682347364897722e-11	18.28709136731464	20.901913636665963	2.533504478648759	0.7399254028175719	2.614822269351322	t-Test	FDR correction BH	1.3751401783166925e-09	True	Not MIS-C	MIS-C Acute Stage	0.16325258380421423	10.114506059674406	Unpaired t-test	indianred	CRP
ECM1~Q16610	5.852999784098963	2.4566839098026163e-07	15.373369125089095	14.841808578760105	0.4385162688129464	0.3675424306256102	-0.5315605463289899	t-Test	FDR correction BH	1.7589856794186734e-06	True	Not MIS-C	MIS-C Acute Stage	1.4454919218611155	6.6096507185950015	Unpaired t-test	lightsteelblue	
F10~P00742	-2.2995784011246903	0.026382087119334704	14.919375340723237	15.120509120516044	0.338904267943287	0.3892359628864502	0.20113377979280678	t-Test	FDR correction BH	0.045407630715008765	True	Not MIS-C	MIS-C Acute Stage	0.8698666870256774	1.5786908498603505	Unpaired t-test	indianred	
F11~P03951	-3.1172662308123584	0.0024839094730823427	19.193205467769246	19.595463447809014	0.8065592925090377	0.405550495475266	0.4022579800397672	t-Test	FDR correction BH	0.006242500411572673	True	Not MIS-C	MIS-C Acute Stage	0.7566730775162123	2.604864236215757	Unpaired t-test	indianred	
F12~P00748	2.860880283444356	0.005552524720151712	16.30300960602721	15.914519566615413	0.7436500435852859	0.5012094023745803	-0.3884900394117974	t-Test	FDR correction BH	0.01212075518179459	True	Not MIS-C	MIS-C Acute Stage	1.3090226309287134	2.2555094992717746	Unpaired t-test	lightsteelblue	
F13A1~P00488	5.272580464611887	1.0409515489279967e-06	15.959129765235826	15.312213659308346	0.7477001027764484	0.4008497570059828	-0.6469161059274793	t-Test	FDR correction BH	6.0106557180035935e-06	True	Not MIS-C	MIS-C Acute Stage	1.5658175361042712	5.982569484248259	Unpaired t-test	lightsteelblue	
F13B~P05160	6.23526063771242	1.9901662164303176e-08	14.189740821728947	13.440986589659374	0.711055592898592	0.407753841524955	-0.7487542320695724	t-Test	FDR correction BH	1.874946067058036e-07	True	Not MIS-C	MIS-C Acute Stage	1.680341228329098	7.701110650291841	Unpaired t-test	lightsteelblue	
FCGBP~Q9Y6R7	-6.638573746071431	6.583675845734046e-09	13.640195858926145	14.85393823802236	0.9727288308422646	0.691822466751938	1.2137423790962156	t-Test	FDR correction BH	7.856519842575962e-08	True	Not MIS-C	MIS-C Acute Stage	0.43114875552489207	8.181531560219028	Unpaired t-test	indianred	FCGBP
FCGR3A~P08637	-9.153274378455201	7.071435641634162e-13	15.251753514049545	16.370828520467935	0.5965449798519099	0.4916979767136514	1.1190750064183899	t-Test	FDR correction BH	6.328934899262575e-11	True	Not MIS-C	MIS-C Acute Stage	0.46038891213634137	12.150492406861533	Unpaired t-test	indianred	FCGR3A
FCN2~Q15485	-2.389376728313026	0.0207581659191651	15.048221390873639	15.42096271216493	0.676334081666909	0.6662967507328805	0.3727413212912918	t-Test	FDR correction BH	0.037915425505413804	True	Not MIS-C	MIS-C Acute Stage	0.772313598373177	1.6828110210727873	Unpaired t-test	indianred	
FGA~P02671	-3.6555489036273587	0.00043407433488730414	20.700959144605815	21.20944505856447	0.915725487239431	0.3962292790053093	0.5084859139586548	t-Test	FDR correction BH	0.0013631457183303061	True	Not MIS-C	MIS-C Acute Stage	0.7029597962679238	3.362435891531332	Unpaired t-test	indianred	
FGB~P02675	-3.430083271311912	0.000917306426514381	22.27473745860636	22.734742854233495	0.908512644846936	0.35633867260328184	0.46000539562713527	t-Test	FDR correction BH	0.0026063150848583206	True	Not MIS-C	MIS-C Acute Stage	0.7269835397629955	3.0374855638782563	Unpaired t-test	indianred	
FGG~P02679	-3.5010274767967067	0.0007266557555746434	19.783399658437048	20.267323673558636	0.9228717350226808	0.3811254036007391	0.48392401512158756	t-Test	FDR correction BH	0.002132317708981331	True	Not MIS-C	MIS-C Acute Stage	0.7150301519007095	3.138671282210425	Unpaired t-test	indianred	
FN1~P02751	3.548259629724624	0.0007796027988724572	17.82853048717041	17.072922215320425	1.0306550219305608	0.8606226766741032	-0.7556082718499866	t-Test	FDR correction BH	0.002250788725776933	True	Not MIS-C	MIS-C Acute Stage	1.6883432847505921	3.1081266103796064	Unpaired t-test	lightsteelblue	
GC~P02774	3.1233635731516762	0.003170345944953058	19.27464951155617	19.102463767763922	0.21646034596252106	0.24429565361409436	-0.17218574379224805	t-Test	FDR correction BH	0.007566558988621298	True	Not MIS-C	MIS-C Acute Stage	1.126764287566321	2.498893345420504	Unpaired t-test	lightsteelblue	
GPLD1~P80108	6.6697838704369685	1.84839916472446e-08	14.06451310074958	12.933036576287805	0.7534022127054368	0.7169283325321595	-1.1314765244617746	t-Test	FDR correction BH	1.8381302804759904e-07	True	Not MIS-C	MIS-C Acute Stage	2.19082845620781	7.733204236407196	Unpaired t-test	lightsteelblue	GPLD1
GPX3~P22352	-2.437862366840775	0.019006120889896148	17.16956273768281	17.3856013871636	0.3410435036009927	0.3951973877457829	0.2160386494807902	t-Test	FDR correction BH	0.036581673540767856	True	Not MIS-C	MIS-C Acute Stage	0.8609261240096737	1.7211065126990264	Unpaired t-test	indianred	
GSN~P06396	5.067176352731766	3.6605164099413323e-06	17.082288041139577	16.59831234069816	0.49425769508039097	0.3692794143561278	-0.483975700441416	t-Test	FDR correction BH	2.0476013668109327e-05	True	Not MIS-C	MIS-C Acute Stage	1.3985925258076732	5.436457641882264	Unpaired t-test	lightsteelblue	
HBA1~P69905	2.505309412668822	0.015245165790193846	17.628953969307567	17.044509177517494	1.0911989961450286	0.9610058810401838	-0.584444791790073	t-Test	FDR correction BH	0.030320940849385535	True	Not MIS-C	MIS-C Acute Stage	1.499461823838729	1.816867848348464	Unpaired t-test	lightsteelblue	
HBB~P68871	2.3632282197382897	0.02180633844790785	19.319507104435857	18.753628917413145	1.0990146836925636	0.9961374383814987	-0.5658781870227116	t-Test	FDR correction BH	0.03903334582175506	True	Not MIS-C	MIS-C Acute Stage	1.4802883055842024	1.6614172516779584	Unpaired t-test	lightsteelblue	
HGFAC~Q04756	4.4280954807781505	5.226145489763561e-05	13.895594527008349	13.161673599206958	0.7241101089511192	0.7055758962921155	-0.7339209278013907	t-Test	FDR correction BH	0.00021260910060629033	True	Not MIS-C	MIS-C Acute Stage	1.6631530390431035	4.28181850419117	Unpaired t-test	lightsteelblue	
HPX~P02790	2.5195149141776016	0.016280038532538794	19.622775862523902	19.45610520889039	0.21065788140499903	0.30897192081989006	-0.1666706536335134	t-Test	FDR correction BH	0.03167529236222222	True	Not MIS-C	MIS-C Acute Stage	1.122465150299073	1.7883445715322495	Unpaired t-test	lightsteelblue	
HP~P00738	-3.6287734881320217	0.0004760253103787364	23.41347132806594	24.02282406052006	1.148583196126859	0.4343932729968859	0.6093527324541199	t-Test	FDR correction BH	0.0014691125958240315	True	Not MIS-C	MIS-C Acute Stage	0.6554907229782116	3.322369955124912	Unpaired t-test	indianred	
HRG~P04196	3.3734995044561713	0.0014442123819622178	17.157141121326372	16.80867155605575	0.4522255795062451	0.4393431800182602	-0.3484695652706229	t-Test	FDR correction BH	0.0039168790359278335	True	Not MIS-C	MIS-C Acute Stage	1.2732092692512005	2.8403689358994106	Unpaired t-test	lightsteelblue	
IGFALS~P35858	4.426384512438154	4.319732222546437e-05	14.429157066611918	13.528200246491096	0.986378276154259	0.821970380355461	-0.9009568201208218	t-Test	FDR correction BH	0.00018161556418023393	True	Not MIS-C	MIS-C Acute Stage	1.8673040005640191	4.3645431739894605	Unpaired t-test	lightsteelblue	
ITIH1~P19827	6.575718665879469	5.8933268027039146e-08	17.6212697709946	16.8621424756261	0.4364674012558884	0.5175805830344997	-0.7591272953685007	t-Test	FDR correction BH	4.79502498947273e-07	True	Not MIS-C	MIS-C Acute Stage	1.6924665204241538	7.2296394753013	Unpaired t-test	lightsteelblue	
ITIH2~P19823	6.633767808345314	3.645727214462605e-08	17.086194462923253	16.214505244122783	0.5276412966279742	0.5779532954558391	-0.8716892188004692	t-Test	FDR correction BH	3.107548435184792e-07	True	Not MIS-C	MIS-C Acute Stage	1.82980412267716	7.43821582983509	Unpaired t-test	lightsteelblue	
ITIH3~Q06033	-6.3607994388546105	1.2553795050473896e-08	15.714904328100825	16.337126690996232	0.5694277300134158	0.339084235884576	0.6222223628954069	t-Test	FDR correction BH	1.404455821271767e-07	True	Not MIS-C	MIS-C Acute Stage	0.6496693898284189	7.901224965790041	Unpaired t-test	indianred	
ITIH4~Q14624	-4.760724440593886	1.4091240549684653e-05	17.99305025161207	18.274295810670914	0.28025959467293454	0.24150442265366437	0.28124555905884563	t-Test	FDR correction BH	6.620610662326409e-05	True	Not MIS-C	MIS-C Acute Stage	0.8228802720844007	4.851050771250735	Unpaired t-test	indianred	
KLKB1~P03952	7.48060327594933	3.3603430767546616e-09	16.134623805920892	15.307808096308634	0.41011792563169647	0.49820937113783315	-0.8268157096122586	t-Test	FDR correction BH	4.595790124352532e-08	True	Not MIS-C	MIS-C Acute Stage	1.7737660143179255	8.473616380724676	Unpaired t-test	lightsteelblue	
KNG1~P01042	3.4233509708698144	0.0014241100220754655	19.47021652971288	19.286689757269023	0.19587922331458982	0.2426744736010448	-0.18352677244385518	t-Test	FDR correction BH	0.0039168790359278335	True	Not MIS-C	MIS-C Acute Stage	1.135656689726651	2.8464564572339413	Unpaired t-test	lightsteelblue	
LAMP2~P13473	-3.661854061453226	0.0004251590808976541	13.943039117749032	14.361655496053562	0.7771047948670821	0.30093089926860417	0.41861637830452914	t-Test	FDR correction BH	0.001358990633583573	True	Not MIS-C	MIS-C Acute Stage	0.7481417883467071	3.371448540469298	Unpaired t-test	indianred	
LBP~P18428	-5.5834332833017735	3.450996922870089e-07	17.250678037143444	18.31628135907302	1.095813705067636	0.6719035586569538	1.0656033219295757	t-Test	FDR correction BH	2.2061730328348066e-06	True	Not MIS-C	MIS-C Acute Stage	0.47777281677213357	6.4620554279531195	Unpaired t-test	indianred	LBP
LCP1~P13796	-7.548315479428615	5.298091935843794e-11	12.903045053967471	13.828518738943735	0.7408970414088861	0.40533970364914307	0.9254736849762644	t-Test	FDR correction BH	1.1854480706450488e-09	True	Not MIS-C	MIS-C Acute Stage	0.5265076195549142	10.27588050982074	Unpaired t-test	indianred	
LRG1~P02750	-7.3892657427527855	7.635849111050869e-11	17.97627288392222	18.802189565956205	0.7460341478604817	0.3084251459976784	0.8259166820339843	t-Test	FDR correction BH	1.3751401783166925e-09	True	Not MIS-C	MIS-C Acute Stage	0.5641236468381957	10.117142662112505	Unpaired t-test	indianred	
LUM~P51884	3.949205232400843	0.0001942126221593962	16.72789937254928	16.29906817935066	0.568956629513935	0.4158997670989995	-0.4288311931986222	t-Test	FDR correction BH	0.0006437788771579985	True	Not MIS-C	MIS-C Acute Stage	1.3461425506698812	3.7117225480838396	Unpaired t-test	lightsteelblue	
LYVE1~Q9Y5Y7	-4.169568234213487	0.00012267924221069233	14.36072140984211	14.981616280382193	0.6485072724788996	0.6348007903292643	0.6208948705400825	t-Test	FDR correction BH	0.00044040332664464446	True	Not MIS-C	MIS-C Acute Stage	0.6502674566600964	3.9112289153169666	Unpaired t-test	indianred	
LYZ~P61626	-2.2213458180851235	0.028871995853096022	14.784381392049246	15.146027687950257	1.1056175144281228	0.4297255664991261	0.3616462959010107	t-Test	FDR correction BH	0.04921987864480179	True	Not MIS-C	MIS-C Acute Stage	0.7782759623056857	1.5395231933265503	Unpaired t-test	indianred	
MAN1A1~P33908	-4.057153072644391	0.0001496310010217869	11.58547038709138	12.121834249717903	0.6449403286310258	0.5317430659297538	0.5363638626265228	t-Test	FDR correction BH	0.0005053575317528274	True	Not MIS-C	MIS-C Acute Stage	0.689506538294018	3.8249784186514613	Unpaired t-test	indianred	
MASP1~P48740	2.35945550660605	0.021068340814391247	13.207305497823548	12.996790504026489	0.488771485674069	0.32921326251831834	-0.21051499379705874	t-Test	FDR correction BH	0.038093262684606395	True	Not MIS-C	MIS-C Acute Stage	1.1571011565403921	1.6763696648440667	Unpaired t-test	lightsteelblue	
ORM1~P02763	-8.024140138045922	3.95982224154688e-12	21.66677638338369	22.487861350871935	0.6698479754115643	0.29506630420618507	0.8210849674882432	t-Test	FDR correction BH	1.7720204530922286e-10	True	Not MIS-C	MIS-C Acute Stage	0.5660161145688017	11.402324309339145	Unpaired t-test	indianred	
ORM2~P19652	-7.626074908649597	3.9266082188783745e-11	22.199549480852347	22.824808098119117	0.49169358492275417	0.2738695016264712	0.6252586172667698	t-Test	FDR correction BH	1.0040898159703272e-09	True	Not MIS-C	MIS-C Acute Stage	0.6483035521244692	10.405982428718712	Unpaired t-test	indianred	
PF4~P02776	4.420745818762027	5.525385459540604e-05	15.023687549284103	13.54713980578541	1.433954283300795	1.432455404407962	-1.4765477434986938	t-Test	FDR correction BH	0.00021978755494617068	True	Not MIS-C	MIS-C Acute Stage	2.78282028752335	4.257637419522997	Unpaired t-test	lightsteelblue	PF4
PGLYRP2~Q96PD5	8.886738857805991	5.027283595033663e-13	16.802495335787007	15.840605365975504	0.5826375819644811	0.4055974469139182	-0.9618899698115033	t-Test	FDR correction BH	6.328934899262575e-11	True	Not MIS-C	MIS-C Acute Stage	1.9478599737608138	12.29866661501377	Unpaired t-test	lightsteelblue	
PIGR~P01833	-2.329883878470822	0.02485024685426139	13.446200446585852	14.052749930425678	0.953101684285445	1.177807649926549	0.6065494838398262	t-Test	FDR correction BH	0.04360974693051754	True	Not MIS-C	MIS-C Acute Stage	0.6567656215249231	1.6046692927692376	Unpaired t-test	indianred	
PLG~P00747	4.484871134981779	4.3628319886871836e-05	17.910580198424906	17.52524288493309	0.37373292080773396	0.3664579334410749	-0.3853373134918172	t-Test	FDR correction BH	0.00018161556418023393	True	Not MIS-C	MIS-C Acute Stage	1.306165143113904	4.360231511237565	Unpaired t-test	lightsteelblue	
PLTP~P55058	-2.93682893416179	0.005262764030926134	15.792813046140667	16.159795085422605	0.4929749652420623	0.5528880636726637	0.36698203928193784	t-Test	FDR correction BH	0.011630058784392319	True	Not MIS-C	MIS-C Acute Stage	0.7754028596036262	2.2787861022160723	Unpaired t-test	indianred	
PON1~P27169	4.737878989897173	1.693737370983392e-05	17.190343436001328	16.588551963140294	0.5765813349320446	0.5312878114083055	-0.6017914728610343	t-Test	FDR correction BH	7.57947473515068e-05	True	Not MIS-C	MIS-C Acute Stage	1.517599883235823	4.771153930000071	Unpaired t-test	lightsteelblue	
PPBP~P02775	5.266853100339528	3.7794711432245086e-06	15.156399906239635	13.427576808872278	1.322016296442734	1.442253781459921	-1.728823097367357	t-Test	FDR correction BH	2.0500767716278394e-05	True	Not MIS-C	MIS-C Acute Stage	3.3145731615265888	5.422568966207207	Unpaired t-test	lightsteelblue	PPBP
PROC~P04070	3.4079123212311453	0.0014806681510615798	14.264072128703605	13.882037654382762	0.4127405515468078	0.5063934773290417	-0.38203447432084303	t-Test	FDR correction BH	0.003940383295713684	True	Not MIS-C	MIS-C Acute Stage	1.3031782894507167	2.8295422651194113	Unpaired t-test	lightsteelblue	
PROZ~P22891	2.587358769756468	0.013464725983387495	13.470488823743743	13.010109806503385	0.6293003695980401	0.8122416781811095	-0.4603790172403581	t-Test	FDR correction BH	0.02708074102276811	True	Not MIS-C	MIS-C Acute Stage	1.3759032407126537	1.8708024803596863	Unpaired t-test	lightsteelblue	
RBP4~P02753	5.998262520503921	6.38838767445255e-08	16.820802793029628	15.943593108059215	0.8341694956968105	0.51855392349981	-0.8772096849704134	t-Test	FDR correction BH	4.971832146639158e-07	True	Not MIS-C	MIS-C Acute Stage	1.8368192731916793	7.194608736903175	Unpaired t-test	lightsteelblue	
SAA1~P0DJI8	-4.622749128096945	1.2754995034846672e-05	18.691101870208698	20.501246565973354	2.629768278662578	1.064179641583418	1.8101446957646559	t-Test	FDR correction BH	6.170659760101497e-05	True	Not MIS-C	MIS-C Acute Stage	0.28516232704566913	4.89431970611253	Unpaired t-test	indianred	SAA1
SAA4~P35542	3.6091267792288693	0.0006548072430011954	17.80929821350201	17.37139182315738	0.5782035390270842	0.49476401427446415	-0.4379063903446294	t-Test	FDR correction BH	0.0019535082749535665	True	Not MIS-C	MIS-C Acute Stage	1.354637078642899	3.1838865253840205	Unpaired t-test	lightsteelblue	
SELENOP~P49908	6.218023587973	1.3298101723033698e-07	15.416110275597438	14.729281134638212	0.4565903956401573	0.4808188749072598	-0.686829140959226	t-Test	FDR correction BH	9.918167535095967e-07	True	Not MIS-C	MIS-C Acute Stage	1.6097416215083047	6.87621034926226	Unpaired t-test	lightsteelblue	
SERPINA10~Q9UK55	-4.0103998739800275	0.00014928578622597333	14.579422889103055	14.989001786002765	0.5574082837173246	0.3781039810008255	0.40957889689970983	t-Test	FDR correction BH	0.0005053575317528274	True	Not MIS-C	MIS-C Acute Stage	0.7528430863167334	3.825981540282256	Unpaired t-test	indianred	
SERPINA1~P01009	-8.003090316405029	8.070780284319597e-12	22.865176959440856	23.38993011734744	0.38731464944225885	0.22331823395680991	0.5247531579065843	t-Test	FDR correction BH	2.831133132819605e-10	True	Not MIS-C	MIS-C Acute Stage	0.6950780261390902	11.093084475588633	Unpaired t-test	indianred	
